algorithm,n,build,query
HashingWithChaining,64,0,0
PerfectHashing,64,0,0
RedBlackSearchTree,64,0,0
HashingWithChaining,64,0,0
PerfectHashing,64,0,0
RedBlackSearchTree,64,0,0
HashingWithChaining,64,0,0
PerfectHashing,64,0,0
RedBlackSearchTree,128,0,0
HashingWithChaining,128,0,0
PerfectHashing,128,0,0
RedBlackSearchTree,128,0,0
HashingWithChaining,128,0,0
PerfectHashing,128,0,0
RedBlackSearchTree,128,0,0
HashingWithChaining,128,0,0
PerfectHashing,128,0,0
RedBlackSearchTree,128,0,0
HashingWithChaining,128,0,0
PerfectHashing,128,0,0
RedBlackSearchTree,128,0,0
HashingWithChaining,128,0,0
PerfectHashing,128,0,0
RedBlackSearchTree,256,0,0
HashingWithChaining,256,0,0
PerfectHashing,256,0,0
RedBlackSearchTree,256,0,0
HashingWithChaining,256,0,0
PerfectHashing,256,0,0
RedBlackSearchTree,256,0,0
HashingWithChaining,256,0,0
PerfectHashing,256,0,0
RedBlackSearchTree,256,0,0
HashingWithChaining,256,0,0
PerfectHashing,256,0,0
RedBlackSearchTree,256,0,0
HashingWithChaining,256,0,0
PerfectHashing,256,0,0
RedBlackSearchTree,512,0,0
HashingWithChaining,512,0,0
PerfectHashing,512,1,0
RedBlackSearchTree,512,0,0
HashingWithChaining,512,0,0
PerfectHashing,512,1,0
RedBlackSearchTree,512,0,0
HashingWithChaining,512,0,0
PerfectHashing,512,1,0
RedBlackSearchTree,512,0,0
HashingWithChaining,512,0,0
PerfectHashing,512,1,0
RedBlackSearchTree,512,0,0
HashingWithChaining,512,0,0
PerfectHashing,512,1,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,16,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,17,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,17,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,2,0
PerfectHashing,8192,17,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,17,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,36,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,34,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,35,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,34,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,36,0
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,69,1
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,70,1
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,70,1
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,70,1
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,69,1
RedBlackSearchTree,65536,22,12
HashingWithChaining,65536,15,6
PerfectHashing,65536,141,3
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,14,6
PerfectHashing,65536,138,2
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,15,6
PerfectHashing,65536,143,2
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,15,6
PerfectHashing,65536,139,2
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,15,6
PerfectHashing,65536,144,3
RedBlackSearchTree,131072,49,26
HashingWithChaining,131072,30,14
PerfectHashing,131072,284,8
RedBlackSearchTree,131072,47,26
HashingWithChaining,131072,30,13
PerfectHashing,131072,289,8
RedBlackSearchTree,131072,47,27
HashingWithChaining,131072,30,15
PerfectHashing,131072,310,9
RedBlackSearchTree,131072,48,27
HashingWithChaining,131072,30,13
PerfectHashing,131072,287,8
RedBlackSearchTree,131072,46,28
HashingWithChaining,131072,31,14
PerfectHashing,131072,288,9
RedBlackSearchTree,262144,105,59
HashingWithChaining,262144,64,29
PerfectHashing,262144,592,19
RedBlackSearchTree,262144,96,58
HashingWithChaining,262144,64,28
PerfectHashing,262144,581,20
RedBlackSearchTree,262144,97,59
HashingWithChaining,262144,63,36
PerfectHashing,262144,581,19
RedBlackSearchTree,262144,101,62
HashingWithChaining,262144,63,28
PerfectHashing,262144,575,19
RedBlackSearchTree,262144,105,58
HashingWithChaining,262144,64,28
PerfectHashing,262144,585,20
RedBlackSearchTree,524288,207,146
HashingWithChaining,524288,132,90
PerfectHashing,524288,1172,43
RedBlackSearchTree,524288,211,144
HashingWithChaining,524288,129,73
PerfectHashing,524288,1185,44
RedBlackSearchTree,524288,220,143
HashingWithChaining,524288,129,77
PerfectHashing,524288,1208,42
RedBlackSearchTree,524288,230,143
HashingWithChaining,524288,131,76
PerfectHashing,524288,1205,42
RedBlackSearchTree,524288,211,144
HashingWithChaining,524288,128,73
PerfectHashing,524288,1178,46
RedBlackSearchTree,1048576,509,325
HashingWithChaining,1048576,274,232
PerfectHashing,1048576,2378,96
RedBlackSearchTree,1048576,533,346
HashingWithChaining,1048576,294,248
PerfectHashing,1048576,2449,101
RedBlackSearchTree,1048576,521,332
HashingWithChaining,1048576,274,217
PerfectHashing,1048576,2414,99
RedBlackSearchTree,1048576,474,335
HashingWithChaining,1048576,272,205
PerfectHashing,1048576,2396,97
RedBlackSearchTree,1048576,478,340
HashingWithChaining,1048576,271,232
PerfectHashing,1048576,2363,97
RedBlackSearchTree,2097152,1244,863
HashingWithChaining,2097152,603,546
PerfectHashing,2097152,4813,224
RedBlackSearchTree,2097152,1214,910
HashingWithChaining,2097152,599,554
PerfectHashing,2097152,4805,219
RedBlackSearchTree,2097152,1215,887
HashingWithChaining,2097152,596,548
PerfectHashing,2097152,4823,227
RedBlackSearchTree,2097152,1484,1078
HashingWithChaining,2097152,632,569
PerfectHashing,2097152,4958,231
RedBlackSearchTree,2097152,1298,904
HashingWithChaining,2097152,604,566
PerfectHashing,2097152,4865,231
RedBlackSearchTree,4194304,3146,2338
HashingWithChaining,4194304,1322,1255
PerfectHashing,4194304,9876,486
RedBlackSearchTree,4194304,3695,2438
HashingWithChaining,4194304,1332,1269
PerfectHashing,4194304,9831,508
RedBlackSearchTree,4194304,3376,2443
HashingWithChaining,4194304,1326,1259
PerfectHashing,4194304,9680,478
RedBlackSearchTree,4194304,3187,2278
HashingWithChaining,4194304,1312,1250
PerfectHashing,4194304,9630,465
RedBlackSearchTree,4194304,3168,2349
HashingWithChaining,4194304,1329,1259
PerfectHashing,4194304,9690,480
RedBlackSearchTree,8388608,7858,5959
HashingWithChaining,8388608,2776,2642
PerfectHashing,8388608,19646,1027
RedBlackSearchTree,8388608,7673,5933
HashingWithChaining,8388608,2761,2582
PerfectHashing,8388608,19659,967
RedBlackSearchTree,8388608,8445,5971
HashingWithChaining,8388608,2805,2669
PerfectHashing,8388608,20134,1040
RedBlackSearchTree,8388608,7831,5961
HashingWithChaining,8388608,2868,2794
PerfectHashing,8388608,19990,1019
RedBlackSearchTree,8388608,8091,6051
HashingWithChaining,8388608,2791,2679
PerfectHashing,8388608,19697,1017
RedBlackSearchTree,16777216,19200,14842
HashingWithChaining,16777216,5727,5491
PerfectHashing,16777216,39829,2125
RedBlackSearchTree,16777216,19238,15699
HashingWithChaining,16777216,5720,5487
PerfectHashing,16777216,39588,2078
RedBlackSearchTree,16777216,18702,15067
HashingWithChaining,16777216,5804,5493
PerfectHashing,16777216,39797,2078
RedBlackSearchTree,16777216,18923,15520
HashingWithChaining,16777216,5717,5561
PerfectHashing,16777216,39150,2065
RedBlackSearchTree,16777216,18769,15506
HashingWithChaining,16777216,5655,5453
PerfectHashing,16777216,39118,2050
RedBlackSearchTree,33554432,44637,37054
HashingWithChaining,33554432,11672,11190
PerfectHashing,33554432,80668,4381
RedBlackSearchTree,33554432,45700,37086
HashingWithChaining,33554432,11600,11362
PerfectHashing,33554432,81371,4570
RedBlackSearchTree,33554432,44522,37562
HashingWithChaining,33554432,11710,11183
PerfectHashing,33554432,78929,4263
RedBlackSearchTree,33554432,44171,36628
HashingWithChaining,33554432,11559,11128
PerfectHashing,33554432,79047,4240
RedBlackSearchTree,33554432,44360,37359
HashingWithChaining,33554432,11654,11193
PerfectHashing,33554432,80128,4288
RedBlackSearchTree,67108864,102295,88859
HashingWithChaining,67108864,23574,23042
PerfectHashing,67108864,174771,10657
RedBlackSearchTree,67108864,100123,90383
HashingWithChaining,67108864,23776,23510
PerfectHashing,67108864,167345,11429
